genre,boatman_work,childbirth_celebration,christmas_carol,courtly_devotional,epic_storytelling_dabenqu,ethnic_courtship,folk_choral,folk_storytelling,harvest_festival,long_song_or_throat_singing,lyrical_poetry,monsoon_seasonal,navratri_devotional,performance_storytelling,playing_technique:0011_m_chest,playing_technique:0012_m_chest,playing_technique:0013_m_chest,playing_technique:0014_m_chest,playing_technique:0015_m_chest,playing_technique:0016_m_chest,playing_technique:0017_m_chest,playing_technique:0018_m_chest,playing_technique:0019_m_chest,playing_technique:0020_m_chest,playing_technique:0031_m_falsetto,playing_technique:0032_m_falsetto,playing_technique:0033_m_falsetto,playing_technique:0034_m_falsetto,playing_technique:0035_m_falsetto,playing_technique:0036_m_falsetto,playing_technique:0037_m_falsetto,playing_technique:0038_m_falsetto,playing_technique:0039_m_falsetto,playing_technique:0040_m_falsetto,playing_technique:7100,playing_technique:7101,playing_technique:7102,playing_technique:7103,playing_technique:7104,playing_technique:7105,playing_technique:7106,playing_technique:7107,playing_technique:7108,playing_technique:7109,playing_technique:7110,playing_technique:7111,playing_technique:7200,playing_technique:Beautiful Countryside_female_Bel Canto,playing_technique:Gan Niu Shan_female_National,playing_technique:Grassland Pastoral_male_National,playing_technique:Heyan_At least I have you_demo,playing_technique:Huang He Song_male_Bel Canto,playing_technique:KAWAI Tri,playing_technique:Li Jingqi_Dan Yuan Ren Chang Jiu_demo,playing_technique:Shi Chunxue_I Only Care about You_demo,playing_technique:Timbre evaluation experimental material_1-37,playing_technique:Wang Haolin_Without You_demo,playing_technique:Wang Zhongbo_The Moon Represents My Heart_demo,playing_technique:Yang Hongan_Tian Mi Mi_demo,playing_technique:Yueding accompaniment,playing_technique:Yueding vocal,playing_technique:Yueding vocal tuning,playing_technique:Yueding xml-01,playing_technique:[Traditional Sheng] Music pieces_Abacus ring,playing_technique:[Traditional Sheng] Music pieces_Qin Wang Po Zhen Yue,playing_technique:[Traditional Sheng] Music pieces_Taihang,playing_technique:[Traditional Sheng] Music pieces_Weishan Lake Boat Song,playing_technique:[Traditional Sheng] Music pieces_Winter Hunting,playing_technique:[Traditional Sheng] Performance Technique_Abdominal vibrato.wav,playing_technique:[Traditional Sheng] Performance Technique_Breath tongue_first,playing_technique:[Traditional Sheng] Performance Technique_Double-tonguing_first,playing_technique:[Traditional Sheng] Performance Technique_Single-tonguing_first,playing_technique:[Traditional Sheng] Performance Technique_Slide up_first pass,playing_technique:[Traditional Sheng] Performance Technique_Throat vibrato_first,playing_technique:[Traditional Sheng] Performance Technique_Tongue flutter_first,playing_technique:[Traditional Sheng] Performance Technique_Traditional Chord_first,playing_technique:[Traditional Sheng] Performance Technique_Triple-tonguing_second,playing_technique:[Traditional Sheng] Scales_Low speed_f_first pass,playing_technique:[Traditional Sheng] Scales_Low speed_mf_second pass,playing_technique:[Traditional Sheng] Scales_Low speed_p_first pass,playing_technique:[Traditional Sheng] Scales_Moderate speed_f_second pass,playing_technique:[Traditional Sheng] Scales_Natural decay_mf_first pass,playing_technique:dajigong,playing_technique:detache,playing_technique:diangong,playing_technique:glissando_down,playing_technique:glissando_up,playing_technique:harmonic_artificial,playing_technique:harmonic_natural,playing_technique:horse,playing_technique:huihuayin_long,playing_technique:legato&slide_up,playing_technique:pizzicato,playing_technique:ricochet,playing_technique:singer,playing_technique:singer2-1,playing_technique:singer2-1-1,playing_technique:singer2-1-10,playing_technique:singer2-1-2,playing_technique:singer2-1-3,playing_technique:singer2-1-4,playing_technique:singer2-1-5,playing_technique:singer2-1-6,playing_technique:singer2-1-7,playing_technique:singer2-1-8,playing_technique:singer2-1-9,playing_technique:slide_dianzhi,playing_technique:staccato,playing_technique:tremolo,playing_technique:trill_long,playing_technique:vibrato_late,playing_technique:vox1_19,playing_technique:vox1_19-1,playing_technique:vox1_19-2,playing_technique:vox1_19-3,playing_technique:vox1_19-4,playing_technique:vox1_19-5,polyphonic_chorus_village_festival,regional_folk,sacred_motet,spiritual_devotional,spiritual_minstrel,tibetan_secular_folk_song,warrior_dance,wedding_celebration
Bauls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
Bhatiali ,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhavageethe,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihu,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garba,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giddha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Kajri,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavani,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maand,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naatupura Paatu,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
