genre,Assam,Gujarat,Karnataka,Maharashtra,Nepal,Northern India,Punjab,Rajasthan,Tamil Nadu ,Uttar Pradesh,Uttarakhand,West Bengal
Bauls,0,0,0,0,0,0,0,0,0,0,0,45
Bhatiali ,0,0,0,0,0,0,0,0,0,0,0,50
Bhavageethe,0,0,47,0,0,0,0,0,0,0,0,0
Bihu,50,0,0,0,0,0,0,0,0,0,0,0
Garba,0,45,0,0,0,0,0,0,0,0,0,0
Giddha,0,0,0,0,0,0,45,0,0,0,0,0
Kajri,0,0,0,0,0,0,0,0,0,30,0,0
Lavani,0,0,0,46,0,0,0,0,0,0,0,0
Maand,0,0,0,0,0,0,0,45,0,0,0,0
Naatupura Paatu,0,0,0,0,0,0,0,0,16,0,0,0
Sohar,0,0,0,0,0,0,0,0,0,45,0,0
Sufi,0,0,0,0,0,45,0,0,0,0,0,0
Tamang Selo,0,0,0,0,46,0,0,0,0,0,0,0
Uttarakhandi,0,0,0,0,0,0,0,0,0,0,26,0
Veeragase,0,0,24,0,0,0,0,0,0,0,0,0
